InsectsOeco,InsectsWithout,smallOeco,smallWithout,largeOeco,largeWithout
6,1,5,0,1,1
5,5,4,1,1,4
20,8,19,6,1,2
13,5,12,4,1,1
3,6,0,1,3,5
6,8,4,3,2,5
10,1,6,0,4,1
2,12,0,9,2,3
2,15,1,8,1,7
8,6,8,5,0,1
20,10,20,10,0,0
4,7,4,4,0,3
2,5,1,3,1,2
5,3,3,0,2,3
5,7,4,5,1,2
0,5,0,2,0,3
9,6,7,5,2,1
